month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2023-07,Rhode Island,0,0,869,516,86,97,0,0,0,0,1,0,0,18,19,4,0,0,10,2,0,1,1,0,1624
2023-07,South Carolina,9198,332,8471,4497,1036,471,2,4,1,0,702,239,6,183,8,28,0,0,2,6,0,0,0,0,25186
2023-07,South Dakota,821,3,1424,1925,123,106,0,0,0,0,97,91,0,2,1,3,0,0,6,16,1,0,1,0,4620
2023-07,Tennessee,12047,61,23702,12849,1494,0,0,0,0,0,0,0,0,75,6,1,0,0,0,0,0,0,0,0,50235
2023-07,Texas,22511,0,47650,23317,3888,2431,15,17,14,2,6754,2317,72,207,4,0,0,0,45,21,7,2,0,0,109274
2023-07,Utah,11849,59586,3925,3474,586,0,0,3,0,0,241,179,1,212,45,27,0,0,0,0,0,0,0,0,80128
2023-07,Vermont,0,0,1041,1078,90,102,2,0,1,0,4,7,0,0,0,0,0,0,1,3,1,0,0,0,2330
2023-07,Virgin Islands,389,28,25,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,457
2023-07,Virginia,310,96,20735,11824,3133,0,0,0,0,0,0,0,0,425,66,0,0,0,0,0,0,0,0,0,36589
2023-07,Washington,11898,304,12617,6268,905,43,30,1,5,2,321,371,13,512,80,14,0,0,236,161,76,0,0,0,33857
2023-07,West Virginia,2170,128,4011,3927,286,278,9,1,3,0,677,469,1,29,5,0,0,0,7,2,1,0,0,0,12004
2023-07,Wisconsin,11508,751,12231,9075,860,49,0,0,0,3,152,117,6,125,44,2,0,0,0,1,0,0,0,0,34924
2023-07,Wyoming,471,15,1867,1655,148,108,6,1,0,0,128,94,1,39,9,0,0,0,3,3,0,0,0,0,4548
2023-06,Alabama,10198,95,16880,10167,1216,997,0,15,6,2,2384,861,15,43,0,0,0,0,43,25,15,0,2,0,42964
2023-06,Alaska,238,81,2961,2270,275,204,0,0,1,0,160,82,2,28,11,0,0,0,0,1,0,0,0,0,6314
2023-06,Arizona,10944,2109,16544,7951,1675,939,0,8,3,0,1118,377,3,259,13,2,0,0,6,6,1,0,0,0,41958
2023-06,Arkansas,4128,415,6035,4039,466,390,0,9,9,1,1106,690,2,0,0,0,0,0,5,8,1,1,0,0,17305
2023-06,California,28968,15713,33746,21016,4539,0,0,0,0,0,720,347,23,1907,1220,87,0,0,7763,3012,512,24,13,0,119610
2023-06,Colorado,8170,14,16583,10450,1482,1553,0,0,0,0,0,0,0,304,31,1,0,0,0,0,0,0,0,0,38588
